epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.792,1.49691,1.51943,1.75851,0.53113,0.45499,0.46423,0.21038,1.95137,3.59539,2.45183,0.000665087,0.000665087,0.000665087
2,685.2,1.48501,1.40189,1.70707,0.62272,0.52289,0.57221,0.30451,1.71228,1.87303,2.00793,0.00129879,0.00129879,0.00129879
3,1029.69,1.37458,1.2545,1.63117,0.72963,0.6501,0.71721,0.42606,1.40468,1.29843,1.75436,0.0018995,0.0018995,0.0018995
4,1367.23,1.29463,1.14932,1.56429,0.79406,0.69511,0.77127,0.49524,1.24516,1.01826,1.61417,0.0018515,0.0018515,0.0018515
5,1702.88,1.23583,1.05802,1.51596,0.81905,0.73125,0.81499,0.52553,1.17352,0.96372,1.51748,0.001802,0.001802,0.001802
6,2043.12,1.1964,1.00545,1.4915,0.83217,0.74168,0.82977,0.55229,1.12526,0.82272,1.47988,0.0017525,0.0017525,0.0017525
7,2383.13,1.15913,0.95351,1.46151,0.86135,0.76379,0.85874,0.57543,1.08999,0.77617,1.4472,0.001703,0.001703,0.001703
8,2719.99,1.13118,0.9106,1.43943,0.88018,0.77445,0.87488,0.59677,1.04941,0.71465,1.40793,0.0016535,0.0016535,0.0016535
9,3056.79,1.13058,0.90874,1.44248,0.87362,0.77497,0.86705,0.59569,1.04945,0.72666,1.41123,0.001604,0.001604,0.001604
10,3391.45,1.09179,0.87208,1.41148,0.87688,0.80229,0.88498,0.61292,1.01612,0.68435,1.35923,0.0015545,0.0015545,0.0015545
11,3725.94,1.07292,0.83932,1.39261,0.89196,0.79396,0.89718,0.62374,1.00828,0.65474,1.3674,0.001505,0.001505,0.001505
12,4060.31,1.06226,0.8329,1.38951,0.8859,0.79553,0.89208,0.62691,0.97296,0.6615,1.3308,0.0014555,0.0014555,0.0014555
13,4394.75,1.03907,0.79591,1.36613,0.88395,0.81478,0.89053,0.62999,0.97583,0.64561,1.3275,0.001406,0.001406,0.001406
14,4729.12,1.03164,0.80158,1.36733,0.89634,0.81429,0.90267,0.64599,0.94947,0.60257,1.30694,0.0013565,0.0013565,0.0013565
15,5063.63,1.00954,0.76686,1.34508,0.90246,0.82154,0.9115,0.65594,0.93596,0.58029,1.2952,0.001307,0.001307,0.001307
16,5397.93,1.00057,0.75245,1.34532,0.90622,0.81139,0.90915,0.64896,0.93561,0.60297,1.29364,0.0012575,0.0012575,0.0012575
17,5732.15,0.98767,0.74508,1.33166,0.90186,0.82,0.91162,0.65338,0.92712,0.58958,1.29141,0.001208,0.001208,0.001208
18,6066.19,0.98336,0.73882,1.32315,0.90942,0.82534,0.92124,0.67267,0.88334,0.56874,1.24332,0.0011585,0.0011585,0.0011585
19,6400.67,0.96854,0.70988,1.30942,0.91545,0.8422,0.92672,0.68124,0.87168,0.5485,1.24215,0.001109,0.001109,0.001109
20,6735.09,0.95757,0.70302,1.30711,0.91109,0.84503,0.92642,0.68082,0.88536,0.53828,1.25488,0.0010595,0.0010595,0.0010595
21,7071.86,0.94588,0.69717,1.30202,0.91946,0.85068,0.93008,0.68881,0.86295,0.52069,1.23104,0.00101,0.00101,0.00101
22,7408.1,0.9406,0.69148,1.29852,0.92918,0.84235,0.9339,0.69462,0.86182,0.52216,1.2204,0.0009605,0.0009605,0.0009605
23,7747.42,0.92671,0.67071,1.28572,0.93405,0.86108,0.93689,0.69857,0.849,0.51058,1.21052,0.000911,0.000911,0.000911
24,8088.42,0.91791,0.67242,1.28073,0.92046,0.85978,0.93872,0.70832,0.83968,0.50362,1.20542,0.0008615,0.0008615,0.0008615
25,8444.86,0.90949,0.65612,1.27902,0.90988,0.87591,0.94086,0.71055,0.81693,0.49015,1.18919,0.000812,0.000812,0.000812
26,8788.46,0.9107,0.64574,1.27276,0.93592,0.86249,0.94043,0.71288,0.81478,0.48306,1.17514,0.0007625,0.0007625,0.0007625
27,9130.39,0.88324,0.62781,1.25489,0.91973,0.87539,0.94893,0.72493,0.80074,0.47449,1.16515,0.000713,0.000713,0.000713
28,9471.96,0.8783,0.62891,1.25224,0.93042,0.87665,0.94801,0.72159,0.80837,0.47084,1.17633,0.0006635,0.0006635,0.0006635
29,9807.76,0.87784,0.62605,1.24965,0.94563,0.86576,0.94907,0.73082,0.78354,0.46127,1.15602,0.000614,0.000614,0.000614
30,10142.6,0.85812,0.59825,1.24202,0.94384,0.87097,0.95169,0.73824,0.78095,0.44447,1.1595,0.0005645,0.0005645,0.0005645
31,10483.8,0.74693,0.46785,1.18813,0.92975,0.88085,0.95275,0.74123,0.76715,0.4476,1.14303,0.000515,0.000515,0.000515
32,10819.6,0.72722,0.45718,1.1788,0.94532,0.87097,0.95172,0.74617,0.73927,0.44216,1.1264,0.0004655,0.0004655,0.0004655
33,11153.2,0.70919,0.44173,1.15793,0.94421,0.88606,0.9569,0.75112,0.74159,0.42217,1.11579,0.000416,0.000416,0.000416
34,11486.2,0.68908,0.43238,1.14516,0.9444,0.89266,0.96033,0.75463,0.73784,0.41993,1.1183,0.0003665,0.0003665,0.0003665
35,11820.7,0.67405,0.41489,1.13572,0.93606,0.8988,0.96023,0.76526,0.70891,0.40376,1.09815,0.000317,0.000317,0.000317
36,12155.9,0.66118,0.40624,1.12788,0.94952,0.89828,0.96333,0.77332,0.69569,0.39379,1.08636,0.0002675,0.0002675,0.0002675
37,12489.8,0.64096,0.39258,1.10985,0.94234,0.91077,0.96447,0.77679,0.68568,0.38524,1.08033,0.000218,0.000218,0.000218
38,12822.6,0.62377,0.37634,1.09647,0.94486,0.90934,0.96651,0.78202,0.67693,0.37901,1.07099,0.0001685,0.0001685,0.0001685
39,13156,0.62149,0.37698,1.10011,0.94163,0.91486,0.96714,0.78364,0.67001,0.37293,1.06931,0.000119,0.000119,0.000119
40,13489.4,0.60699,0.36667,1.08706,0.94431,0.91758,0.96853,0.78803,0.65819,0.36705,1.06153,6.95e-05,6.95e-05,6.95e-05
